	Time [s]	Deformation Probe (X) [m]	
1	0,	0,	
2	3,3333e-002	-4,2643e-009	
3	6,6666e-002	-6,816e-008	
4	9,9999e-002	-3,446e-007	
5	0,13333	-1,0874e-006	
6	0,16667	-2,6504e-006	
7	0,2	-5,4865e-006	
8	0,23333	-1,0147e-005	
9	0,26666	-1,7278e-005	
10	0,3	-2,7621e-005	
11	0,33333	-4,2007e-005	
12	0,36666	-6,1355e-005	
13	0,4	-8,6672e-005	
14	0,43333	-1,1905e-004	
15	0,46666	-1,5967e-004	
16	0,5	-2,098e-004	
17	0,53333	-2,7079e-004	
18	0,56666	-3,4405e-004	
19	0,59999	-4,3109e-004	
20	0,63333	-5,3349e-004	
21	0,66666	-6,5292e-004	
22	0,69999	-7,9112e-004	
23	0,73333	-9,4994e-004	
24	0,76666	-1,1313e-003	
25	0,79999	-1,3372e-003	
26	0,83333	-1,5697e-003	
27	0,86666	-1,831e-003	
28	0,89999	-2,1234e-003	
29	0,93332	-2,4491e-003	
30	0,96666	-2,8107e-003	
31	0,99999	-3,2106e-003	
32	1,0333	-3,6516e-003	
33	1,0667	-4,1362e-003	
34	1,1	-4,6672e-003	
35	1,1333	-5,2474e-003	
36	1,1667	-5,8798e-003	
37	1,2	-6,5673e-003	
38	1,2333	-7,313e-003	
39	1,2667	-8,1199e-003	
40	1,3	-8,991e-003	
41	1,3333	-9,9296e-003	
42	1,3667	-1,0939e-002	
43	1,4	-1,2021e-002	
44	1,4333	-1,318e-002	
45	1,4667	-1,4419e-002	
46	1,5	-1,574e-002	
47	1,5333	-1,7146e-002	
48	1,5667	-1,8641e-002	
49	1,6	-2,0226e-002	
50	1,6333	-2,1905e-002	
51	1,6667	-2,3667e-002	
52	1,7	-2,548e-002	
53	1,7333	-2,7316e-002	
54	1,7666	-2,9163e-002	
55	1,8	-3,1017e-002	
56	1,8333	-3,2872e-002	
57	1,8666	-3,4726e-002	
58	1,9	-3,6574e-002	
59	1,9333	-3,8412e-002	
60	1,9666	-4,0236e-002	
61	2,	-4,2044e-002	
62	2,0333	-4,3833e-002	
63	2,0666	-4,5601e-002	
64	2,1	-4,7344e-002	
65	2,1333	-4,9061e-002	
66	2,1666	-5,0749e-002	
67	2,2	-5,2406e-002	
68	2,2333	-5,4032e-002	
69	2,2666	-5,5625e-002	
70	2,3	-5,7182e-002	
71	2,3333	-5,8704e-002	
72	2,3666	-6,0188e-002	
73	2,4	-6,1634e-002	
74	2,4333	-6,3039e-002	
75	2,4666	-6,4404e-002	
76	2,5	-6,5727e-002	
77	2,5333	-6,7007e-002	
78	2,5666	-6,8244e-002	
79	2,6	-6,9436e-002	
80	2,6333	-7,0582e-002	
81	2,6666	-7,1681e-002	
82	2,7	-7,2733e-002	
83	2,7333	-7,3735e-002	
84	2,7666	-7,4688e-002	
85	2,8	-7,5591e-002	
86	2,8333	-7,6442e-002	
87	2,8666	-7,724e-002	
88	2,9	-7,7985e-002	
89	2,9333	-7,8675e-002	
90	2,9666	-7,931e-002	
91	3,	-7,989e-002	
92	3,0333	-8,0413e-002	
93	3,0666	-8,0879e-002	
94	3,1	-8,1288e-002	
95	3,1333	-8,1638e-002	
96	3,1666	-8,1931e-002	
97	3,2	-8,2164e-002	
98	3,2333	-8,2339e-002	
99	3,2666	-8,2455e-002	
100	3,3	-8,2513e-002	
101	3,3333	-8,2517e-002	
102	3,3666	-8,2486e-002	
103	3,4	-8,2445e-002	
104	3,4333	-8,2403e-002	
105	3,4666	-8,2361e-002	
106	3,5	-8,232e-002	
107	3,5333	-8,2279e-002	
108	3,5666	-8,2239e-002	
109	3,6	-8,22e-002	
110	3,6333	-8,2162e-002	
111	3,6666	-8,2126e-002	
112	3,7	-8,2091e-002	
113	3,7333	-8,2058e-002	
114	3,7666	-8,2027e-002	
115	3,8	-8,1998e-002	
116	3,8333	-8,1972e-002	
117	3,8666	-8,1947e-002	
118	3,9	-8,1924e-002	
119	3,9333	-8,1903e-002	
120	3,9666	-8,1884e-002	
121	4,	-8,1866e-002	
122	4,0333	-8,185e-002	
123	4,0666	-8,1834e-002	
124	4,1	-8,182e-002	
125	4,1333	-8,1806e-002	
126	4,1666	-8,1793e-002	
127	4,2	-8,1779e-002	
128	4,2333	-8,1765e-002	
129	4,2666	-8,175e-002	
130	4,3	-8,1735e-002	
131	4,3333	-8,1718e-002	
132	4,3666	-8,17e-002	
133	4,4	-8,168e-002	
134	4,4333	-8,1659e-002	
135	4,4666	-8,1635e-002	
136	4,5	-8,161e-002	
137	4,5333	-8,1583e-002	
138	4,5666	-8,1553e-002	
139	4,6	-8,1522e-002	
140	4,6333	-8,1489e-002	
141	4,6666	-8,1454e-002	
142	4,7	-8,1417e-002	
143	4,7333	-8,1379e-002	
144	4,7666	-8,1339e-002	
145	4,8	-8,1299e-002	
146	4,8333	-8,1258e-002	
147	4,8666	-8,1217e-002	
148	4,9	-8,1175e-002	
149	4,9333	-8,1134e-002	
150	4,9666	-8,1093e-002	
151	4,9999	-8,1052e-002	
152	5,	-8,1052e-002	
