	Time [s]	Deformation Probe 2 (Y) [m]	
1	0,	0,	
2	3,3333e-002	2,9204e-005	
3	6,6666e-002	1,1676e-004	
4	9,9999e-002	2,6252e-004	
5	0,13333	4,6635e-004	
6	0,16667	7,2807e-004	
7	0,2	1,0475e-003	
8	0,23333	1,4245e-003	
9	0,26666	1,8588e-003	
10	0,3	2,3502e-003	
11	0,33333	2,8982e-003	
12	0,36666	3,5025e-003	
13	0,4	4,1626e-003	
14	0,43333	4,8781e-003	
15	0,46666	5,6488e-003	
16	0,5	6,4743e-003	
17	0,53333	7,3542e-003	
18	0,56666	8,2881e-003	
19	0,59999	9,2754e-003	
20	0,63333	1,0316e-002	
21	0,66666	1,1409e-002	
22	0,69999	1,2554e-002	
23	0,73333	1,3751e-002	
24	0,76666	1,4999e-002	
25	0,79999	1,6299e-002	
26	0,83333	1,7649e-002	
27	0,86666	1,9049e-002	
28	0,89999	2,0498e-002	
29	0,93332	2,1996e-002	
30	0,96666	2,3542e-002	
31	0,99999	2,5136e-002	
32	1,0333	2,6776e-002	
33	1,0667	2,8463e-002	
34	1,1	3,0194e-002	
35	1,1333	3,1968e-002	
36	1,1667	3,3784e-002	
37	1,2	3,5642e-002	
38	1,2333	3,7538e-002	
39	1,2667	3,9472e-002	
40	1,3	4,1441e-002	
41	1,3333	4,3443e-002	
42	1,3667	4,5476e-002	
43	1,4	4,7536e-002	
44	1,4333	4,9621e-002	
45	1,4667	5,1728e-002	
46	1,5	5,3854e-002	
47	1,5333	5,5993e-002	
48	1,5667	5,8144e-002	
49	1,6	6,0301e-002	
50	1,6333	6,2459e-002	
51	1,6667	6,46e-002	
52	1,7	6,6684e-002	
53	1,7333	6,868e-002	
54	1,7666	7,0584e-002	
55	1,8	7,2397e-002	
56	1,8333	7,4121e-002	
57	1,8666	7,5758e-002	
58	1,9	7,7312e-002	
59	1,9333	7,8784e-002	
60	1,9666	8,0176e-002	
61	2,	8,1493e-002	
62	2,0333	8,2736e-002	
63	2,0666	8,3909e-002	
64	2,1	8,5014e-002	
65	2,1333	8,6053e-002	
66	2,1666	8,7031e-002	
67	2,2	8,7948e-002	
68	2,2333	8,8809e-002	
69	2,2666	8,9615e-002	
70	2,3	9,037e-002	
71	2,3333	9,1075e-002	
72	2,3666	9,1733e-002	
73	2,4	9,2347e-002	
74	2,4333	9,2919e-002	
75	2,4666	9,345e-002	
76	2,5	9,3943e-002	
77	2,5333	9,4401e-002	
78	2,5666	9,4824e-002	
79	2,6	9,5215e-002	
80	2,6333	9,5575e-002	
81	2,6666	9,5907e-002	
82	2,7	9,6211e-002	
83	2,7333	9,6489e-002	
84	2,7666	9,6744e-002	
85	2,8	9,6975e-002	
86	2,8333	9,7185e-002	
87	2,8666	9,7375e-002	
88	2,9	9,7547e-002	
89	2,9333	9,77e-002	
90	2,9666	9,7836e-002	
91	3,	9,7957e-002	
92	3,0333	9,8063e-002	
93	3,0666	9,8155e-002	
94	3,1	9,8234e-002	
95	3,1333	9,83e-002	
96	3,1666	9,8354e-002	
97	3,2	9,8397e-002	
98	3,2333	9,8428e-002	
99	3,2666	9,8449e-002	
100	3,3	9,8459e-002	
101	3,3333	9,846e-002	
102	3,3666	9,8454e-002	
103	3,4	9,8447e-002	
104	3,4333	9,844e-002	
105	3,4666	9,8432e-002	
106	3,5	9,8425e-002	
107	3,5333	9,8417e-002	
108	3,5666	9,841e-002	
109	3,6	9,8403e-002	
110	3,6333	9,8396e-002	
111	3,6666	9,839e-002	
112	3,7	9,8383e-002	
113	3,7333	9,8377e-002	
114	3,7666	9,8372e-002	
115	3,8	9,8366e-002	
116	3,8333	9,8361e-002	
117	3,8666	9,8357e-002	
118	3,9	9,8353e-002	
119	3,9333	9,8349e-002	
120	3,9666	9,8345e-002	
121	4,	9,8342e-002	
122	4,0333	9,8339e-002	
123	4,0666	9,8336e-002	
124	4,1	9,8334e-002	
125	4,1333	9,8331e-002	
126	4,1666	9,8328e-002	
127	4,2	9,8326e-002	
128	4,2333	9,8323e-002	
129	4,2666	9,8321e-002	
130	4,3	9,8318e-002	
131	4,3333	9,8315e-002	
132	4,3666	9,8311e-002	
133	4,4	9,8308e-002	
134	4,4333	9,8304e-002	
135	4,4666	9,8299e-002	
136	4,5	9,8294e-002	
137	4,5333	9,8289e-002	
138	4,5666	9,8284e-002	
139	4,6	9,8278e-002	
140	4,6333	9,8272e-002	
141	4,6666	9,8265e-002	
142	4,7	9,8258e-002	
143	4,7333	9,8251e-002	
144	4,7666	9,8243e-002	
145	4,8	9,8236e-002	
146	4,8333	9,8228e-002	
147	4,8666	9,822e-002	
148	4,9	9,8212e-002	
149	4,9333	9,8204e-002	
150	4,9666	9,8196e-002	
151	4,9999	9,8189e-002	
152	5,	9,8189e-002	
