	Time [s]	Deformation Probe 3 (X) [m]	
1	0,	0,	
2	3,3333e-002	-7,5122e-009	
3	6,6666e-002	-1,3522e-007	
4	9,9999e-002	-7,7125e-007	
5	0,13333	-2,9023e-006	
6	0,16667	-8,6958e-006	
7	0,2	-2,0282e-005	
8	0,23333	-3,8021e-005	
9	0,26666	-6,078e-005	
10	0,3	-8,7804e-005	
11	0,33333	-1,2141e-004	
12	0,36666	-1,6589e-004	
13	0,4	-2,2578e-004	
14	0,43333	-3,0492e-004	
15	0,46666	-4,0534e-004	
16	0,5	-5,3118e-004	
17	0,53333	-6,9369e-004	
18	0,56666	-9,1343e-004	
19	0,59999	-1,2172e-003	
20	0,63333	-1,6351e-003	
21	0,66666	-2,2016e-003	
22	0,69999	-2,954e-003	
23	0,73333	-3,9363e-003	
24	0,76666	-5,2066e-003	
25	0,79999	-6,8287e-003	
26	0,83333	-8,8603e-003	
27	0,86666	-1,1355e-002	
28	0,89999	-1,4368e-002	
29	0,93332	-1,7954e-002	
30	0,96666	-2,2166e-002	
31	0,99999	-2,7077e-002	
32	1,0333	-3,2741e-002	
33	1,0667	-3,9174e-002	
34	1,1	-4,6375e-002	
35	1,1333	-5,4334e-002	
36	1,1667	-6,3038e-002	
37	1,2	-7,2484e-002	
38	1,2333	-8,27e-002	
39	1,2667	-9,37e-002	
40	1,3	-0,10543	
41	1,3333	-0,11782	
42	1,3667	-0,13081	
43	1,4	-0,14433	
44	1,4333	-0,15836	
45	1,4667	-0,17296	
46	1,5	-0,18816	
47	1,5333	-0,20395	
48	1,5667	-0,22032	
49	1,6	-0,23724	
50	1,6333	-0,25469	
51	1,6667	-0,27269	
52	1,7	-0,29141	
53	1,7333	-0,31103	
54	1,7666	-0,33171	
55	1,8	-0,35363	
56	1,8333	-0,37675	
57	1,8666	-0,40087	
58	1,9	-0,42581	
59	1,9333	-0,45151	
60	1,9666	-0,47798	
61	2,	-0,50527	
62	2,0333	-0,53342	
63	2,0666	-0,56232	
64	2,1	-0,59156	
65	2,1333	-0,62074	
66	2,1666	-0,64957	
67	2,2	-0,67786	
68	2,2333	-0,70556	
69	2,2666	-0,73269	
70	2,3	-0,75914	
71	2,3333	-0,78454	
72	2,3666	-0,80846	
73	2,4	-0,83063	
74	2,4333	-0,85087	
75	2,4666	-0,86919	
76	2,5	-0,88584	
77	2,5333	-0,90094	
78	2,5666	-0,91438	
79	2,6	-0,92598	
80	2,6333	-0,93561	
81	2,6666	-0,94325	
82	2,7	-0,94906	
83	2,7333	-0,95345	
84	2,7666	-0,95681	
85	2,8	-0,95928	
86	2,8333	-0,9609	
87	2,8666	-0,96167	
88	2,9	-0,96157	
89	2,9333	-0,96076	
90	2,9666	-0,95967	
91	3,	-0,95873	
92	3,0333	-0,95815	
93	3,0666	-0,95803	
94	3,1	-0,9583	
95	3,1333	-0,95883	
96	3,1666	-0,95958	
97	3,2	-0,96077	
98	3,2333	-0,96269	
99	3,2666	-0,96546	
100	3,3	-0,96909	
101	3,3333	-0,9734	
102	3,3666	-0,97804	
103	3,4	-0,9827	
104	3,4333	-0,98728	
105	3,4666	-0,99182	
106	3,5	-0,99632	
107	3,5333	-1,0009	
108	3,5666	-1,0054	
109	3,6	-1,0096	
110	3,6333	-1,0132	
111	3,6666	-1,016	
112	3,7	-1,018	
113	3,7333	-1,0193	
114	3,7666	-1,02	
115	3,8	-1,0203	
116	3,8333	-1,0199	
117	3,8666	-1,0188	
118	3,9	-1,0167	
119	3,9333	-1,0137	
120	3,9666	-1,01	
121	4,	-1,0058	
122	4,0333	-1,0013	
123	4,0666	-0,99673	
124	4,1	-0,99183	
125	4,1333	-0,98659	
126	4,1666	-0,98104	
127	4,2	-0,97531	
128	4,2333	-0,96972	
129	4,2666	-0,9646	
130	4,3	-0,96004	
131	4,3333	-0,956	
132	4,3666	-0,95242	
133	4,4	-0,94922	
134	4,4333	-0,94641	
135	4,4666	-0,94421	
136	4,5	-0,9429	
137	4,5333	-0,94256	
138	4,5666	-0,94311	
139	4,6	-0,94443	
140	4,6333	-0,94631	
141	4,6666	-0,94855	
142	4,7	-0,95124	
143	4,7333	-0,95454	
144	4,7666	-0,95848	
145	4,8	-0,96299	
146	4,8333	-0,96788	
147	4,8666	-0,97285	
148	4,9	-0,97761	
149	4,9333	-0,98207	
150	4,9666	-0,98637	
151	4,9999	-0,99053	
152	5,	-0,99054	
