	Time [s]	Deformation Probe 4 (Y) [m]	
1	0,	0,	
2	3,3333e-002	-4,7767e-007	
3	6,6666e-002	-1,441e-005	
4	9,9999e-002	-1,0436e-004	
5	0,13333	-3,6476e-004	
6	0,16667	-7,6903e-004	
7	0,2	-1,1259e-003	
8	0,23333	-1,2604e-003	
9	0,26666	-1,0371e-003	
10	0,3	-3,1346e-004	
11	0,33333	9,3619e-004	
12	0,36666	2,6756e-003	
13	0,4	4,9662e-003	
14	0,43333	7,9853e-003	
15	0,46666	1,1942e-002	
16	0,5	1,7005e-002	
17	0,53333	2,3344e-002	
18	0,56666	3,1014e-002	
19	0,59999	3,9926e-002	
20	0,63333	5,0063e-002	
21	0,66666	6,1505e-002	
22	0,69999	7,4335e-002	
23	0,73333	8,8657e-002	
24	0,76666	0,10457	
25	0,79999	0,12204	
26	0,83333	0,1409	
27	0,86666	0,16098	
28	0,89999	0,18219	
29	0,93332	0,20446	
30	0,96666	0,22776	
31	0,99999	0,25212	
32	1,0333	0,27743	
33	1,0667	0,30345	
34	1,1	0,32995	
35	1,1333	0,35672	
36	1,1667	0,38365	
37	1,2	0,41064	
38	1,2333	0,43771	
39	1,2667	0,46484	
40	1,3	0,49184	
41	1,3333	0,51854	
42	1,3667	0,54483	
43	1,4	0,57058	
44	1,4333	0,59581	
45	1,4667	0,62063	
46	1,5	0,64511	
47	1,5333	0,66925	
48	1,5667	0,69298	
49	1,6	0,71629	
50	1,6333	0,73915	
51	1,6667	0,76159	
52	1,7	0,78379	
53	1,7333	0,80594	
54	1,7666	0,82817	
55	1,8	0,85056	
56	1,8333	0,87298	
57	1,8666	0,89514	
58	1,9	0,91682	
59	1,9333	0,93794	
60	1,9666	0,95847	
61	2,	0,97844	
62	2,0333	0,99783	
63	2,0666	1,0165	
64	2,1	1,0342	
65	2,1333	1,0508	
66	2,1666	1,066	
67	2,2	1,0801	
68	2,2333	1,0929	
69	2,2666	1,1047	
70	2,3	1,1154	
71	2,3333	1,1249	
72	2,3666	1,1333	
73	2,4	1,1406	
74	2,4333	1,1469	
75	2,4666	1,1523	
76	2,5	1,157	
77	2,5333	1,161	
78	2,5666	1,1644	
79	2,6	1,1672	
80	2,6333	1,1695	
81	2,6666	1,1714	
82	2,7	1,1728	
83	2,7333	1,1739	
84	2,7666	1,1747	
85	2,8	1,1753	
86	2,8333	1,1757	
87	2,8666	1,1759	
88	2,9	1,176	
89	2,9333	1,1759	
90	2,9666	1,1757	
91	3,	1,1755	
92	3,0333	1,1754	
93	3,0666	1,1753	
94	3,1	1,1754	
95	3,1333	1,1755	
96	3,1666	1,1756	
97	3,2	1,1758	
98	3,2333	1,1762	
99	3,2666	1,1768	
100	3,3	1,1775	
101	3,3333	1,1784	
102	3,3666	1,1793	
103	3,4	1,1802	
104	3,4333	1,181	
105	3,4666	1,1818	
106	3,5	1,1826	
107	3,5333	1,1833	
108	3,5666	1,1841	
109	3,6	1,1847	
110	3,6333	1,1853	
111	3,6666	1,1857	
112	3,7	1,186	
113	3,7333	1,1862	
114	3,7666	1,1863	
115	3,8	1,1863	
116	3,8333	1,1863	
117	3,8666	1,1861	
118	3,9	1,1858	
119	3,9333	1,1853	
120	3,9666	1,1848	
121	4,	1,1841	
122	4,0333	1,1834	
123	4,0666	1,1826	
124	4,1	1,1818	
125	4,1333	1,1809	
126	4,1666	1,1799	
127	4,2	1,1788	
128	4,2333	1,1777	
129	4,2666	1,1766	
130	4,3	1,1757	
131	4,3333	1,1749	
132	4,3666	1,1741	
133	4,4	1,1734	
134	4,4333	1,1728	
135	4,4666	1,1723	
136	4,5	1,172	
137	4,5333	1,1719	
138	4,5666	1,172	
139	4,6	1,1723	
140	4,6333	1,1728	
141	4,6666	1,1733	
142	4,7	1,1739	
143	4,7333	1,1746	
144	4,7666	1,1754	
145	4,8	1,1763	
146	4,8333	1,1773	
147	4,8666	1,1783	
148	4,9	1,1792	
149	4,9333	1,18	
150	4,9666	1,1808	
151	4,9999	1,1815	
152	5,	1,1815	
